applicant_id,age,income,loan_amount,loan_term_months,credit_score,employment_years,debt_to_income,num_credit_lines,late_payments_2y,race,gender,default
1,56,165406.0,23935.0,36,519,1,0.415,4,0,White,Female,0
2,69,26409.0,23849.0,36,616,0,0.425,1,0,White,Female,1
3,46,27074.0,38268.0,36,690,7,0.071,4,0,White,Female,0
4,32,67948.0,8570.0,24,578,2,0.383,4,1,White,Male,1
5,60,54674.0,24876.0,12,535,4,0.317,1,3,Black,Male,1
6,25,109977.0,22069.0,48,655,6,0.108,2,0,White,Male,1
7,38,51553.0,30249.0,48,719,5,0.203,3,0,Hispanic,Male,0
8,56,29273.0,49978.0,36,514,3,0.54,8,0,Hispanic,Female,1
9,36,51761.0,38703.0,48,715,2,0.352,0,1,Hispanic,Male,0
10,40,70631.0,20495.0,48,715,2,0.277,1,0,Other,Male,0
11,28,59414.0,41550.0,24,726,5,0.09,3,2,White,Male,0
12,28,49235.0,9365.0,36,747,3,0.443,1,1,Black,Female,0
13,41,68872.0,2493.0,24,826,9,0.437,4,0,Hispanic,Female,0
14,70,73246.0,11018.0,24,621,10,0.388,4,0,White,Female,0
15,53,83224.0,17680.0,48,658,0,0.331,0,1,Hispanic,Male,0
16,57,53596.0,26018.0,60,616,0,0.289,1,0,White,Male,0
17,41,32851.0,31141.0,60,650,4,0.376,6,1,White,Male,0
18,20,39657.0,45620.0,48,772,1,0.178,5,3,White,Female,0
19,39,74900.0,25983.0,24,542,0,0.568,2,0,Other,Female,1
20,70,22244.0,25563.0,24,581,10,0.374,3,2,Hispanic,Male,0
21,19,45306.0,3462.0,48,760,1,0.221,7,0,Hispanic,Male,0
22,41,28681.0,2711.0,36,731,13,0.297,1,0,Black,Female,0
23,61,36947.0,28007.0,48,620,6,0.493,4,1,White,Male,0
24,47,78204.0,22471.0,48,718,7,0.139,3,0,White,Male,0
25,55,40728.0,42120.0,48,677,1,0.211,2,1,Hispanic,Male,0
26,19,37342.0,8873.0,48,770,1,0.424,2,1,White,Female,0
27,38,16060.0,2224.0,12,655,3,0.224,3,0,White,Female,0
28,50,56826.0,23003.0,48,732,0,0.486,6,0,White,Female,0
29,29,53492.0,12636.0,60,850,1,0.122,4,0,White,Female,0
30,39,132980.0,3431.0,24,697,1,0.469,1,0,Black,Female,0
31,61,30192.0,36505.0,48,653,0,0.088,3,0,White,Female,0
32,42,41419.0,6468.0,36,707,1,0.057,3,0,Black,Female,0
33,66,42177.0,30808.0,60,620,7,0.544,1,1,Hispanic,Female,0
34,44,93571.0,14771.0,12,841,0,0.37,2,2,White,Female,0
35,59,34297.0,9501.0,36,664,0,0.244,1,0,White,Male,0
