age,annual_spend,cluster,membership_years,num_purchases
18,127,0,2.8,2
18,98,0,1.9,1
43,1008,2,8.8,18
36,512,1,6.6,9
52,1071,2,3.1,20
26,873,3,7.4,19
21,823,3,8.2,21
46,977,2,6.1,25
19,795,3,6.9,17
25,166,0,3.8,4
29,757,3,5.4,10
53,1024,2,5.2,19
50,1052,2,8.5,18
18,207,0,8.4,4
18,201,0,8.3,4
29,882,3,0.1,19
45,974,2,7.5,19
18,189,0,7.6,3
28,796,3,6.8,20
26,700,3,7.6,10
42,998,2,8.4,22
19,220,0,4.7,5
28,558,1,5.0,15
18,787,3,1.2,19
49,1027,2,3.9,18
31,212,0,6.4,7
25,717,3,7.8,15
23,869,3,2.2,15
30,453,1,1.4,6
31,500,1,6.6,10
28,201,0,0.0,5
31,513,1,1.8,10
27,516,1,0.3,16
18,211,0,1.7,9
19,822,3,1.8,14
31,819,3,3.9,14
33,460,1,4.0,7
19,792,3,8.7,16
20,199,0,5.1,7
25,797,3,7.2,14
18,849,3,1.0,9
18,744,3,2.3,22
22,203,0,7.0,5
33,541,1,0.5,8
18,162,0,4.9,0
42,518,1,6.0,8
30,523,1,6.0,12
30,487,1,0.2,5
26,817,3,3.2,21
20,120,0,6.4,1
32,721,3,1.5,17
35,675,3,7.0,12
36,1021,2,7.5,15
63,1011,2,9.8,25
50,477,1,2.1,6
22,845,3,8.3,22
31,832,3,5.2,21
34,836,3,3.7,18
18,192,0,1.2,3
46,1100,2,7.4,23
23,176,0,2.4,6
21,852,3,3.7,14
59,1031,2,0.6,14
46,1041,2,8.0,25
18,149,0,7.7,4
49,961,2,7.3,28
28,768,3,3.0,10
21,192,0,1.7,8
45,998,2,6.4,28
39,155,0,5.0,2
18,204,0,1.8,3
18,742,3,6.9,12
45,1126,2,9.9,15
18,239,0,7.5,6
26,733,3,7.4,19
34,469,1,9.5,12
18,836,3,2.0,16
18,261,0,5.7,1
43,376,1,9.8,11
24,920,3,1.7,22
49,1070,2,7.0,29
25,139,0,5.9,2
20,212,0,5.9,4
18,194,0,7.0,3
34,477,1,9.3,10
18,254,0,7.8,8
22,921,3,0.6,20
28,532,1,8.5,8
36,518,1,2.3,12
24,303,0,3.8,10
55,924,2,4.6,25
50,1049,2,4.8,23
18,215,0,4.4,4
27,747,3,9.4,17
49,1029,2,7.1,29
58,1055,2,6.3,17
27,796,3,0.5,15
43,978,2,9.0,23
35,858,3,9.1,21
36,541,1,7.8,7
55,981,2,0.1,20
31,487,1,0.6,13
53,976,2,2.3,15
46,991,2,1.3,27
24,904,3,4.0,14
44,1051,2,9.2,24
18,155,0,4.7,7
32,622,1,0.1,9
50,968,2,2.8,21
52,1023,2,0.4,25
59,1025,2,0.4,21
24,247,0,2.8,2
29,520,1,2.8,10
41,1019,2,7.9,17
23,202,0,9.7,2
43,486,1,3.7,9
48,997,2,4.3,11
30,506,1,8.4,8
21,277,0,2.7,8
18,225,0,1.6,6
34,560,1,8.5,10
26,435,1,0.5,13
35,505,1,6.2,8
22,875,3,5.6,19
25,149,0,3.5,4
23,806,3,3.2,10
44,921,2,7.7,22
24,821,3,0.9,21
48,1072,2,2.4,21
21,859,3,7.3,16
29,479,1,5.5,7
55,1048,2,1.3,20
18,782,3,8.8,7
28,583,1,3.9,10
57,916,2,8.3,20
29,478,1,7.9,11
28,810,3,6.2,17
52,999,2,4.9,18
37,554,1,9.8,14
25,738,3,1.4,12
22,831,3,7.3,14
22,267,0,1.9,7
18,114,0,3.4,2
30,461,1,3.1,5
21,184,0,9.5,2
34,541,1,9.7,4
23,183,0,1.8,2
31,551,1,0.2,13
37,567,1,7.2,12
49,1031,2,4.2,20
26,851,3,0.9,16
18,220,0,6.8,2
23,185,0,5.5,4
46,1016,2,9.8,20
44,574,1,2.3,12
26,528,1,4.0,10
33,486,1,5.4,13
42,543,1,7.9,12
31,415,1,5.5,3
18,216,0,6.1,6
18,187,0,2.3,2
58,1001,2,8.5,22
43,531,1,4.3,7
22,199,0,1.4,8
49,1077,2,6.6,38
32,594,1,2.2,12
38,541,1,1.0,12
49,1122,2,8.6,23
23,287,0,4.6,8
36,476,1,7.5,10
18,174,0,2.9,4
25,750,3,7.9,9
30,776,3,1.1,17
33,805,3,3.6,24
18,742,3,9.8,18
32,475,1,7.9,11
34,842,3,5.0,19
55,1010,2,3.4,24
47,978,2,8.7,26
47,998,2,5.4,25
21,159,0,7.6,4
30,307,0,7.5,6
37,497,1,0.2,6
27,783,3,1.3,17
18,112,0,6.6,3
18,772,3,1.6,15
28,768,3,2.6,19
34,483,1,9.5,12
43,1011,2,5.6,24
55,958,2,7.5,25
23,827,3,5.6,21
51,972,2,5.5,20
35,537,1,0.9,14
24,504,1,3.4,10
20,176,0,2.8,3
46,982,2,3.9,19
54,1046,2,8.0,17
34,516,1,3.7,12
24,798,3,4.5,15
22,224,0,4.0,7
27,748,3,0.9,19
28,798,3,4.4,23
18,272,0,2.0,6
48,1031,2,1.9,25
51,1011,2,0.9,22
38,493,1,3.6,10
54,974,2,7.6,19
25,844,3,2.8,16
24,276,0,3.1,9
38,443,1,6.4,8
26,781,3,2.0,13
29,790,3,9.0,12
18,257,0,5.2,10
18,189,0,4.5,3
18,123,0,5.6,6
26,449,1,1.7,17
24,240,0,6.1,3
30,146,0,3.6,4
55,1089,2,9.0,24
18,171,0,1.7,2
52,1014,2,5.1,20
42,960,2,6.0,18
50,1014,2,0.3,29
33,489,1,3.6,8
46,969,2,7.3,27
43,1089,2,8.2,20
19,206,0,3.1,1
36,516,1,8.0,10
27,133,0,9.7,4
21,914,3,8.6,14
36,524,1,1.2,9
37,579,1,7.4,10
24,179,0,3.2,2
26,808,3,9.9,15
29,474,1,4.9,16
31,895,3,1.2,17
35,572,1,7.3,20
50,968,2,3.2,20
20,194,0,10.0,6
27,727,3,9.8,16
23,557,1,6.6,5
47,1054,2,1.3,26
50,1032,2,6.9,15
47,1019,2,0.9,20
25,813,3,0.3,15
26,502,1,8.2,13
45,1059,2,2.1,20
48,945,2,3.8,19
47,1114,2,9.7,21
18,242,0,3.4,10
20,200,0,3.0,7
22,912,3,9.2,16
58,985,2,1.1,22
39,411,1,7.6,4
20,816,3,9.9,15
38,435,1,9.0,9
23,845,3,6.5,18
22,231,0,3.1,9
18,158,0,2.5,4
55,1009,2,8.2,12
18,170,0,8.8,4
18,231,0,5.3,5
28,460,1,2.4,13
18,847,3,1.1,18
33,730,3,0.9,7
22,811,3,7.2,23
28,247,0,4.2,9
31,879,3,9.1,13
19,151,0,7.4,5
31,849,3,1.9,15
48,1044,2,6.1,19
50,987,2,4.4,26
21,203,0,5.8,4
48,955,2,7.4,11
27,177,0,8.1,3
32,722,3,8.4,11
56,1013,2,2.5,16
24,248,0,0.3,5
52,984,2,7.4,26
48,1052,2,1.1,18
53,925,2,3.1,23
38,567,1,0.0,12
25,768,3,6.8,15
49,1092,2,1.7,19
27,516,1,6.6,15
26,775,3,9.9,18
22,304,0,0.7,6
20,234,0,0.8,1
28,798,3,3.4,17
34,492,1,8.7,10
25,785,3,2.2,18
25,478,1,3.6,16
47,975,2,0.7,19
24,791,3,7.6,22
20,224,0,4.1,7
33,613,1,7.6,15
28,869,3,9.0,18
25,858,3,2.3,18
50,996,2,8.1,22
50,1059,2,0.6,11
47,1030,2,9.0,17
21,235,0,6.5,3
24,843,3,8.7,21
56,974,2,0.0,22
19,817,3,1.7,20
26,829,3,3.9,15
28,437,1,3.8,9
39,451,1,2.3,16
48,996,2,3.8,11
20,721,3,1.3,16
25,161,0,4.1,6
43,963,2,8.0,18
18,248,0,4.8,4
44,406,1,0.2,7
58,954,2,4.2,19
39,478,1,0.3,11
25,810,3,9.7,24
25,129,0,1.3,1
52,978,2,7.1,16
18,797,3,9.7,13
22,903,3,8.3,17
48,1035,2,7.0,16
24,837,3,8.4,19
21,795,3,9.8,11
31,853,3,6.2,21
25,824,3,5.6,22
58,1010,2,6.3,18
50,1022,2,5.3,17
28,781,3,6.4,10
28,850,3,4.5,18
18,263,0,2.2,6
23,232,0,1.2,5
51,1004,2,0.7,16
62,963,2,2.6,20
18,171,0,0.5,6
37,603,1,5.7,9
18,241,0,2.8,1
18,735,3,8.2,13
32,543,1,0.7,12
18,229,0,2.3,10
22,234,0,7.3,3
28,800,3,6.0,13
38,389,1,0.6,3
24,162,0,8.8,5
23,785,3,8.8,9
47,968,2,3.3,24
51,943,2,3.4,14
42,1078,2,9.9,19
45,931,2,6.3,19
21,692,3,5.3,9
28,766,3,8.4,12
21,807,3,2.9,9
26,838,3,4.3,14
23,268,0,2.7,7
42,1072,2,7.9,25
30,777,3,5.7,18
32,655,3,6.6,10
35,450,1,2.5,11
28,821,3,2.2,14
30,793,3,4.9,11
