month,active_users,new_signups,churned_users,mrr,avg_revenue_per_user,support_tickets,feature_usage_pct,churn_rate_pct,net_new_users
2023-01-31,1060.0,82,22,10462.0,29.25,39,74.9,2.08,60
2023-02-28,1107.0,85,34,11022.0,28.77,51,75.1,3.07,51
2023-03-31,1170.0,79,35,11515.0,22.58,53,58.0,2.99,44
2023-04-30,1251.0,91,30,11781.0,26.6,55,54.7,2.4,61
2023-05-31,1296.0,76,27,12510.0,28.17,46,80.5,2.08,49
2023-06-30,1341.0,83,39,13160.0,25.55,53,80.5,2.91,44
2023-07-31,1423.0,87,28,13818.0,25.3,53,83.4,1.97,59
2023-08-31,1488.0,95,25,14136.0,22.42,39,85.7,1.68,70
2023-09-30,1529.0,98,26,14917.0,20.93,45,65.6,1.7,72
2023-10-31,1590.0,83,40,15137.0,28.97,60,65.1,2.52,43
2023-11-30,1630.0,79,32,15754.0,29.0,57,79.9,1.96,47
2023-12-31,1671.0,99,35,16692.0,26.33,52,72.5,2.09,64
2024-01-31,1726.0,114,38,16994.0,23.39,43,75.1,2.2,76
2024-02-29,1738.0,100,27,17381.0,23.49,45,79.8,1.55,73
2024-03-31,1753.0,97,25,17901.0,27.26,53,84.5,1.43,72
2024-04-30,1792.0,118,29,18300.0,28.97,62,56.9,1.62,89
2024-05-31,1822.0,118,22,18490.0,28.87,48,58.8,1.21,96
2024-06-30,1878.0,122,41,19004.0,27.8,45,44.7,2.18,81
2024-07-31,1910.0,112,30,19291.0,26.42,58,68.9,1.57,82
2024-08-31,1931.0,129,28,19886.0,20.84,42,41.8,1.45,101
2024-09-30,2011.0,115,44,20202.0,21.62,64,63.3,2.19,71
2024-10-31,2056.0,117,30,21012.0,28.99,51,67.1,1.46,87
2024-11-30,2108.0,130,26,21355.0,26.06,41,54.3,1.23,104
2024-12-31,2129.0,139,32,21791.0,20.09,60,69.5,1.5,107
